"Código do Lote","Código da Edificação","Cadastro IPTU","Nome","Descrição","Endereço","Lei-Decreto","Data do Documento","Esfera","COMPHIC","Intimação","Características","Situação","Observações"
"03.0011.0012.0374", - ,"117100 (?), 117200",Imóvel, - ,"Imóvel localizado na Rua do Acampamento,352-358",DE nº 135/2020,16/07/2020,Municipal,Of. nº 104/COMPHIC/2020,INTIMAÇÃO Nº 84/COMPHIC/2020,"Tombamento, preservando, na integralidade, a originalidade volumétrica e estilística, no que se incluem com a feição da cobertura e a materialidade e modenatura das fachadas frontal – oeste - e lateral – norte -, vãos remanescentes, sem qualquer supressão ou acréscimo que altere essa configuração remanescente. ",Tombamento Provisório, - 
"03.0011.0012.0345", - ,"116700, 116800, 116900, 11324400",Imóvel, - ,"Rua do Acampamento, 372-380",DE nº 108/2022 (anterior provisório DE nº 136/2020),23/09/2022,Municipal,Of. nº 105/COMPHIC/2020,INTIMAÇÃO Nº 85/COMPHIC/2020,"Tombamento,  preservando, na integralidade, a fachada remanescente em volumetria e modenatura exterior, com a originalidade dos elementos arquitetônicos ainda presentes, vãos remanescentes, sem qualquer nova supressão ou acréscimo de volume, elemento ou equipamento que afete a feição atual.",Tombamento Definitivo, - 
"01.0021.0035.0264", - ,"4779400",Imóvel, - ,"Rua Marechal Deodoro, 143",DE nº 121/2022 (anterior provisório DE nº 140/2020),"04/10/2022",Municipal,Of. nº 110/COMPHIC/2020,INTIMAÇÃO Nº 90/COMPHIC/2020,"Tombamento, com preservação integral de sua originalidade volumétrica e estilística, mantendo forma, vãos, materialidade e modenatura das fachadas principal, laterais e de fundos, sem qualquer supressão ou acréscimo de volume, elemento ou equipamento que afete a feição remanescente. ",Tombamento Definitivo, - 
"03.0011.0024.1658", - ,"262100",Imóvel, - ,"Rua José Bonifácio, 2465",DE nº 141/2020,16/07/2020,Municipal,Of. nº 109/COMPHIC/2020,INTIMAÇÃO Nº 89/COMPHIC/2020,"Tomba-se a volumetria da edificação, ou seja, o conjunto das dimensões que determinam o volume da edificação composta por suas fachadas e cobertura. A preservação deve acrescer ainda todos os elementos de ornamentação da fachada principal, fachadas laterais, vãos, esquadrias remanescentes e recuos. ",Tombamento Provisório, - 
"01.0011.0044.0624","01.0011.0044.0624.001.001","4378500",Imóvel, - ,"Rua Venâncio Aires, 1956",DE n° 199/2019,18/12/2019,Municipal,Of. Nº 31/COMPHIC/2020,INTIMAÇÃO Nº 30/COMPHIC/2020,"Tomba-se, portanto, a volumetria do imóvel, ou seja, o volume da edificação composto por sua fachada principal e cobertura. A preservação deve acrescer, ainda, todos os elementos remanescentes de ornamentação da fachada principal, bem como a fenestração original.",Tombamento Provisório, - 
"02.0011.0067.0215","02.0011.0067.0215.001.001",8805300 (geo) 5778900-0 (DE),Residência José Mariano da Rocha Filho, - ,"Rua Venâncio Aires, 1826",DE nº 03/2020,"07/01/2020",Municipal,Of. Nº 56/COMPHIC/2020,INTIMAÇÃO Nº 48/COMPHIC/2020,"Tomba-se o imóvel na sua totalidade. Isto inclui a edificação residencial, seus jardins, muros e gradil, junto ao passeio público.",Tombamento Provisório, - 
"02.0011.0067.0425", - ,5787200 (DE e geo),Imóvel, - ,"Rua Marechal Floriano Peixoto, 888",DE nº 119/2022 (anterior provisório DE nº 142/2020),"04/10/2022",Municipal,Of. nº 111/COMPHIC/2020,INTIMAÇÃO Nº 91/COMPHIC/2020,"Tombamento da sua volumetria, ou seja, o volume da edificação composto por sua fachada frontal e cobertura. A preservação deve acrescer ainda todos os elementos remanescentes de ornamentação e vãos da fachada. Em uma reforma posterior, sugere-se a reversão dos vãos originais do térreo. ",Tombamento Definitivo, - 
"03.0011.0018.0200", - ,"(191500, 1916600 e 1917700 DE) / (191500, 191600 GEO)",Imóvel, - ,"Rua Pinheiro Machado, 2456",DE nº 123/2022 (anterior provisório DE nº 143/2020),"04/10/2022",Municipal,Of. nº 112/COMPHIC/2020,INTIMAÇÃO Nº 92/COMPHIC/2020,"Tombamento, preservando a volumetria, feição da cobertura e fachada frontal da edificação, com todos os vãos e modenatura e ornamentação remanescente, no que se inclui, também, o recuo lateral. Sugere-se que em intervenções arquitetônicas posteriores seja considerada a reversão da composição do térreo.",Tombamento Definitivo, - 
"03.0011.0008.0125", - ,"70800",Imóvel, - ,"Rua Riachuelo, 167","DE nº 23/2024
(anterior provisório DE nº 144/2020)",24/01/2024,Municipal,Of. nº 113/COMPHIC/2020,INTIMAÇÃO Nº 93/COMPHIC/2020,"Tombamento da volumetria e da fachada frontal da edificação, com a feição da cobertura e todos os vãos e modenatura e ornamentação remanescente, no que se inclui, também, o recuo lateral. Sugere-se que em intervenções arquitetônicas posteriores seja considerada a reversão do vão de janela alterado, no térreo.",Tombamento Definitivo, - 
"04.0011.0019.0274", - ,2088500-0(LOTE)/ 2088600-0(EDIFICAÇÃO),Imóvel, - ,"Rua Serafim Valandro, 874 - 878",DE nº 120/2022  (anterior provisorio DE nº 146/2020),"04/10/2022",Municipal,Of. nº 115/COMPHIC/2020,INTIMAÇÃO Nº 95/COMPHIC/2020,"Tombando-se a volumetria da edificação e sua fachada principal – voltada para a rua – em vãos e elementos estilísticos remanescentes, recomendando a reconfiguração original do vão e das esquadrias do pavimento térreo e a unidade de coloração, além da liberação da dominância dos anúncios publicitários afixados. ",Tombamento Definitivo, - 
"04.0011.0011.0312", - ,"1982400",Imóvel, - ,"Rua Venäncio Aires, 1545 - 1551",DE nº 147/2020,16/07/2020,Municipal,Of. Nº 117/COMPHIC/2020,INTIMAÇÃO Nº 97/COMPHIC/2020,"Tombamento da fachada principal, preservando todos os elementos ornamentais remanescentes e os vãos originais, no pavimento superior. Deve-se manter a altura correspondente ao sobrado, preservando as visuais perceptíveis do logradouro até o alinhamento da edificação vizinha a oeste. Sugere-se, ainda, em eventual posterior intervenção arquitetônica, a reconfiguração dos vãos originais, no térreo. ",Tombamento Provisório, - 
"02.0011.0022.0094", - ,"5465400, 5465300, 8696800, 8696900, 8697000, 8697100, 8596600(geo)",Imóvel, - ,"Av. Rio Branco, 195",DE nº 157/2020,"05/08/2020",Municipal,Of. nº 122/COMPHIC/2020,INTIMAÇÃO Nº 102/COMPHIC/2020,"Tombamento das fachadas principal e lateral, compostas pelo pavimento superior, platibanda e térreo. As formas que compõem a edificação, incluindo as sacadas e seus gradis, todos os ornamentos das fachadas, incluindo os medalhões e molduras, e as esquadrias em madeira com vitrais, são características relevantes que devem ser preservadas para resguardar as características que definem a edificação. Além disso, avalia-se necessário manter a volumetria do telhado, pois sua escala compõe, junto com os outros prédios desta testada do quarteirão, um conjunto de grande valor para a paisagem urbana de Santa Maria.",Tombamento Provisório, - 
"04.0011.0012.0107","04.0011.0012.0107.001.001","1989400 (lote geo e de), 1989800(DE), 1990200(DE), 1989500(DE) COPACABANA",Imóvel, - ,"Calçadão Salvador Isaía, 1314",DE nº 44/2020,27/02/2020,Municipal,Of. nº 53/COMPHIC/2020,INTIMAÇÃO Nº 45/COMPHIC/2020,"Tomba-se, portanto, a volumetria e fachada principal da edificação, acrescendo, ainda, todos os elementos remanescentes de sua composição, tais como letreiro, vãos e ornamentação.",Tombamento Provisório, - 
"02.0011.0011.0405","02.0011.0011.0405.001.001","5430500",Imóvel, - ,"Rua André Marques, 52",DE nº 91/2022 (anterior provisório DE nº 124/2020),23/09/2022,Municipal,Of. nº 89/COMPHIC/2020,INTIMAÇÃO Nº 69/COMPHIC/2020,"Tomba-se em volumetria o corpo principal, suas fachadas e cobertura, além dos elementos presentes nos recuos frontal e laterais.",Tombamento Definitivo,Tombamento provisório DE 124-2020
"02.0011.0011.0419","02.0011.0011.0419","5430600",Imóvel, - ,"Rua André Marques, 64","DE nº 97/2022
(anterior provisório DE nº 125/2020)",23/09/2022,Municipal,Of. nº 90/COMPHIC/2020,INTIMAÇÃO Nº 70/COMPHIC/2020,"Tomba-se em volumetria o corpo principal, suas fachadas e cobertura, além dos elementos presentes nos recuos frontal e laterais.",Tombamento Definitivo, - 
"01.0011.0049.0247","01.0011.0049.0247.001.001","4408900",Theatro Treze de Maio,Theatro Treze de Maio,Praça Saldanha Marinho,DE n° 127/2014,10/11/2014,Municipal, - , - ,"A altura atual, Materialidade da cobertura de telha francesa, Fachada Oeste (Praça) e Fachada Norte (Rua Venâncio Aires) e Trecho da Fachada Sul (área de circulação até a segunda pilastra, fachada que contém ornamentos visíveis da Praça Saldanha Marinho), com exceção do 3º pavimento voltado para Rua Venâncio Aires (área necessária para o urdimento) e acréscimo da platibanda (do friso intermediário até o limite superior), Elementos decorativos e arquitetônicos das fachadas; Luminárias (tipo arandelas de bronze com vidro); Peitoris de argamassa; Desenho e materialidade das janelas de verga reta do primeiro e segundo pavimentos de madeira (tipo abrir com duas folhas), com postigo de madeira, 8 vidros em cada folha e bandeiras fixas com 5 vidros lisos; Desenho e materialidade das janelas de verga em arco do primeiro pavimento, pertencente a Fachada Oeste (Praça), de madeira (tipo abrir com duas folhas), com postigo de madeira, 8 vidros lisos em cada folha e bandeiras fixas com 4 vidros lisos; Desenho e materialidade das portas de verga em arco do primeiro pavimento, pertencente a Fachada Oeste (Praça), de madeira almofadada (tipo abrir com duas folhas) e bandeiras fixas com 4 vidros lisos e grade com desenhos curvilíneos; Saguão principal: a) Volumetria interna; b) As escadas de acesso ao segundo pavimento, inclusive corrimão e guarda-corpo; Mezanino: a) Guarda-corpo de madeira vazada verticalmente; b) Tirantes de sustentação das varandas laterais.",Tombamento Definitivo, - 
"04.0011.0012.0100","04.0011.0012.0100.001.001","1988800 (DE), 1988900 (DE), 1989000 (DE), 1980100 (DE), 1989200 (DE), 1989300 (DE), 1988700 (DE E GEO- ENY FEMININA)",Imóvel, - ,"Calçadão Salvador Isaía, 1318-1324",DE nº 115/2020,16/07/2020,Municipal,Of. nº 78/COMPHIC/2020,INTIMAÇÃO Nº 58/COMPHIC/2020,"Tomba-se, portanto, a integralidade da fachada principal da edificação, acrescendo, ainda, todos os elementos remanescentes de sua ornamentação e vãos dos pavimentos superiores.",Tombamento Provisório, - 
"02.0011.0022.0489","02.0011.0022.0489.001.001",5474400 (de),Imóvel, - ,"Rua Manoel Ribas, 1731",DE nº 116/2020,16/07/2020,Municipal,Of. nº 79/COMPHIC/2020,INTIMAÇÃO Nº 59/COMPHIC/2020,"Tombando-se a volumetria, a cobertura e a fachada principal Déco, em vãos e elementos de ornamentação remanescentes, todos relevantes na originalidade do antigo armazém/residência,",Tombamento Provisório, - 
"02.0011.0011.0391","02.0011.0011.0391.001.001","5430400",Imóvel, - ,"Rua André Marques, 36","DE nº 90/2022
(anterior provisório DE nº 126/2020)",23/09/2022,Municipal,Of. nº 92/COMPHIC/2020,INTIMAÇÃO Nº 72/COMPHIC/2020,"Tomba-se em volumetria o corpo principal, suas fachadas e cobertura, além dos elementos presentes nos recuos frontal e laterais.",Tombamento Definitivo, - 
"02.0011.0011.0432", - ,"5430700",Imóvel, - ,"Rua André Marques, 78",DE nº 106/2022 (anterior provisório DE nº 132/2020),23/09/2022,Municipal,Of. nº 91/COMPHIC/2020,INTIMAÇÃO Nº 71/COMPHIC/2020,"Tomba-se em volumetria o corpo principal, suas fachadas e cobertura, além dos elementos presentes nos recuos frontal e laterais.",Tombamento Definitivo, - 
"03.0011.0022.0526", - ,"246100",Imóvel, - ,"Rua do Acampamento, 606",DE nº 89/2022 (anterior provisório DE nº 137/2020),23/09/2022,Municipal,Of. nº 106/COMPHIC/2020,INTIMAÇÃO Nº 86/COMPHIC/2020,"Tombamento da edificação, composto por sua fachada frontal e laterais, perceptíveis do passeio público. A preservação deve acrescer ainda todos os vãos e elementos remanescentes de ornamentação das fachadas. ",Tombamento Definitivo, - 
"02.0011.0040.0476","02.0011.0040.0476.001.001",NO.0011.0040.0920.0001 (insc. anterior)/5590400,Oficina de Vídeos TV OVO,Residência Evandro Ribeiro e da edificação lindeira (TV OVO),"Rua Cel. Ernesto Beck, 1685",DE n° 99/2018 (anterior provisório DE nº 67/2018),30/08/2018,Municipal, - , - ,"O Tombamento diz respeito às duas edificações existentes no mesmo lote, referente a edificação da esquina, assobradada sob nº 267, imóvel em ruínas, de dois pavimentos em alvenaria de tijolos, com ornamentação eclética, fachada principal simétrica e uma escadaria externa centralizada, com o pavimento principal acima do nível da rua. Para esse bem devem ser preservados: a volumetria, os vãos e os adornos e as fachadas norte, leste e sul. As esquadrias de madeiras devem ser recuperadas conforme modelo original, assim como os gradis de ferro do porão. Deverão ainda ser preservados os materiais e técnicas que caracterizam a edificação e que ainda testemunhos no local. Para o outro imóvel, a edificação lindeira, localizada na Rua Coronel Ernesto Beck, sob nº 1685, Art Déco, devem ser preservados: a fachada voltada para a via com seus adornos e os vãos originais.",Tombamento Definitivo, - 
"04.0021.0039.1836","04.0021.0039.1836.012.002",SO.0021.0039.1836.0004 (Insc. Anterior)/ 3213600,Altar Monumento,Altar Monumento do Santuário Basílica de Nossa Senhora da Medianeira.,"Av. Nossa Senhora Medianeira, 631",DE n° 81/2018,25/05/2018,Municipal, - , - ,"Altar Monumento do Santuário Basílica de Nossa Senhora da Medianeira, pertencente à Mitra Diocesana de Santa Maria, localizado no Parque da Basílica Nossa Senhora da Medianeira.",Tombamento Provisório, - 
"04.0011.0011.0435","04.0011.0011.0435.001.001","1986300",Imóvel, - ,"Rua Venâncio Aires, 1663",DE n° 152/2019,14/11/2019,Municipal,Of. Nº 85/COMPHIC/2020,INTIMAÇÃO Nº 65/COMPHIC/2020, - ,Tombamento Provisório, - 
"02.0011.0065.0230", - ,"11868300",Imóvel, - ,"Rua dos Andradas, 1768",DE nº 138/2020,16/07/2020,Municipal,Of. nº 107/COMPHIC/2020,INTIMAÇÃO Nº 87/COMPHIC/2020,"Tombamento que preserve a edificação principal remanescente do conjunto em volumetria e modenatura exterior, mantendo a originalidade dos materiais e elementos arquitetônicos ainda presentes. Em relação ao interior, tomba-se o mezanino.",Tombamento Provisório, - 
"02.0011.0065.0225", - ,"12172700",Imóvel, - ,"Rua dos Andradas, 1770",DE nº 113/2022 (anterior provisório DE nº 139/2020),23/09/2022,Municipal,Of. nº 108/COMPHIC/2020,INTIMAÇÃO Nº 88/COMPHIC/2020,"Tombamento da volumetria da edificação, cobertura e fachada principal, com todos os elementos decorativos característicos e vãos de aberturas remanescentes.",Tombamento Definitivo, - 
"03.0011.0040.0340","03.0011.0040.0340.001.001","327800",Imóvel, - ,"Av. Nossa Senhora Medianeira, 1645",DE n° 153/2019,14/11/2019,Municipal,Of. nº 01/COMPHIC/2020,INTIMAÇÃO Nº 01/COMPHIC/2020,"Tomba-se a volumetria da edificação, ou seja, o volume da edificação composto por suas fachadas e cobertura, incluindo seu recuo frontal e volume da garagem. A preservação deve acrescer, ainda, todos os elementos de ornamentação das fachadas principal e laterais, assim como os acessos. Também, deverão ser mantidos os elementos construídos no recuo de jardim, constituídos pelos muros.",Tombamento Provisório, - 
"02.0011.0023.0476","02.0011.0023.0476.001.001","5483300, 5483400, 5483500, 11324500",Edifício Mabi,Edifício Mabi,"Av. Rio Branco, 134-138","DE nº 88/2022
(anterior provisório DE nº 154/2019)",23/09/2022,Municipal,Of. nº 68/COMPHIC/2020,INTIMAÇÃO Nº 51/COMPHIC/2020,"Tomba-se a fachada principal composta pelos pavimentos superiores, platibanda e térreo. As formas que compõem a edificação, a ornamentação da fachada principal e as esquadrias em madeira são elementos relevantes que devem ser mantidos para preservar a característica da edificação. Além disso, avalia-se necessário manter a volumetria do telhado, pois sua escala compõe, junto com os outros prédios desta testada do quarteirão, um conjunto de grande valor para a paisagem urbana de Santa Maria",Tombamento Definitivo, - 
"01.0011.0023.0443","01.0011.0023.0443.001.001",4296000-0 (lote) e 10471600-0(edificação),Residência Mallo,Residência Mallo,"Av. Rio Branco, 532","DE nº 33/2024
(anterior provisório DE nº 155/2019)",25/01/2024,Municipal,Of. nº 02/COMPHIC/2020,INTIMAÇÃO Nº 02/COMPHIC/2020,"Tomba-se a fachada principal nos pavimentos superiores, platibandas e térreo. As formas que compõem a edificação, a ornamentação das fachadas principais e as esquadrias em madeira com vitrais são elementos relevantes que devem ser mantidos para preservar a característica da edificação. Além disso, avalia-se necessário manter a volumetria do telhado, ",Tombamento Definitivo, - 
"03.0011.0006.0180", - ,"56500",Imóvel, - ,"Rua do Acampamento, 82",DE nº 94/2022 (anterior provisorio DE nº 160/2020),23/09/2022,Municipal,Of. nº 125/COMPHIC/2020,INTIMAÇÃO Nº 105/COMPHIC/2020,"Tombamento, preservando, na integralidade, a originalidade volumétrica e estilística da fachada remanescente, preservando os vãos. ",Tombamento Definitivo, - 
"01.0011.0023.0384","01.0011.0023.0384.001.001","4293700",Residência Valentim Fernandez,Residência Valentin Fernandez.,"Av. Rio Branco, 594","DE nº 35/2024
(anterior provisório DE nº 156/2019)",25/01/2024,Municipal,Of. nº 21/COMPHIC/2020,INTIMAÇÃO Nº 21/COMPHIC/2020,"Tombamento, com preservação integral de sua originalidade volumétrica e estilística, mantendo forma e materiais de cobertura, esquadrias, modenatura das fachadas principal e laterais, escadaria lateral, portões de acesso e a porta de acesso ao segundo pavimento, sem qualquer supressão ou acréscimo de volume, elemento ou equipamento que afete essa feição original.",Tombamento Definitivo, - 
"02.0011.0065.0516","02.0011.0065.0516.001.001","5751000",Imóvel, - ,"Rua Silva Jardim, 1711",DE nº 119/2020,16/07/2020,Municipal,Of. Nº 83/COMPHIC/2020,INTIMAÇÃO Nº 63/COMPHIC/2020,"Se tomba a sua volumetria, fachadas e cobertura, incluindo o recuo de jardim, escadaria de acesso principal, portão e muros com balaústres.",Tombamento Provisório, - 
"01.0011.0023.0359","01.0011.0023.0359.001.001","4293100, 4293200, 4293300, 4293000 (lote)",Imóvel, - ,"Av. Rio Branco, 608","DE nº 22/2024
(anterior provisório DE nº 158/2019)",24/01/2024,Municipal,Of. nº 03/COMPHIC/2020,INTIMAÇÃO Nº 03/COMPHIC/2020,"Tomba-se, portanto, a volumetria da edificação, ou seja, o conjunto das dimensões que determinam o volume da edificação composta por sua fachada frontal e cobertura. Quanto à preservação, devem ser mantidos os elementos da fachada frontal em seus ornamentos e aberturas, além da altura que o prédio possui, mantendo a escala de contexto. ",Tombamento Definitivo, - 
"01.0011.0049.0109","01.0011.0049.0109.001.001",4406400 e 4406500,Imóvel, - ,"Rua Ângelo Uglione, 1550 (Venâncio Aires, 2067)",DE n° 160/2019,14/11/2019,Municipal,Of. nº 25/COMPHIC/2020,INTIMAÇÃO Nº 25/COMPHIC/2020,"Quanto à preservação, tombam-se as fachadas de ambas as frentes. A ornamentação da fachada voltada para a via Venâncio Aires, incluindo marquise e letreiro e, ainda marquise e letreiro existentes na fachada voltada para Rua Ângelo Uglione, pois se tratam de elementos relevantes que devem ser mantidos para preservar a característica do Mercado (empreendimento de suma importância para o comércio da época) e elementos arquitetônicos de cunho Art Déco.",Tombamento Provisório, - 
"04.0011.0027.0917","04.0011.0027.0917.001.001","2211900",Imóvel, - ,"Rua Coronel Niederauer, 1613","DE n° 104/2022
(anterior provisório DE nº 161/2019)",23/09/2022,Municipal,Of. nº 05/COMPHIC/2020,INTIMAÇÃO Nº 05/COMPHIC/2020,"Quanto à preservação, tomba-se, portanto, a volumetria da edificação composta por sua fachada principal e cobertura. A preservação deve acrescer, ainda, todos os elementos remanescentes de ornamentação da fachada frontal e as esquadrias em madeira, as quais são elementos relevantes que devem ser mantidos para preservar a característica da edificação. O restante do lote, ao fundo, pode receber acréscimos, contanto que não interfira na percepção a partir do logradouro. ",Tombamento Definitivo, - 
"04.0011.0029.0666","04.0011.0029.0666.001.001","2251400 ?, 2251300 ?, 2251500 ?, 2251600 (DE e GEO), 12825000 ?, 22511700 ?, 22518000",Conjunto edificações,Conjunto edificações,"Rua Dr. Astrogildo Cezar de Azevedo, 31 e 39",DE n° 162/2019,14/11/2019,Municipal,Of. nº 33/COMPHIC/2020,INTIMAÇÃO Nº 32/COMPHIC/2020,"Tomba-se a volumetria do conjunto, ou seja, o volume das edificações composto por suas fachadas principais e coberturas. A preservação deve acrescer, ainda, todos os elementos remanescentes de ornamentação das fachadas, bem como a fenestração original.",Tombamento Provisório, - 
"04.0011.0029.0677","04.0011.0029.0677.001.001","2251400 ?, 2251300 ?, 2251500 ?, 2251600 (DE e GEO), 12825000 ?, 22511700 ?, 22518000",Conjunto edificações,Conjunto edificações,"Rua Dr. Astrogildo Cezar de Azevedo,51",DE n° 162/2019,14/11/2019,Municipal,Of. nº 33/COMPHIC/2020,INTIMAÇÃO Nº 32/COMPHIC/2020,"Tomba-se a volumetria do conjunto, ou seja, o volume das edificações composto por suas fachadas principais e coberturas. A preservação deve acrescer, ainda, todos os elementos remanescentes de ornamentação das fachadas, bem como a fenestração original.",Tombamento Provisório, - 
"04.0011.0029.0671","04.0011.0029.0671.001.001","2251400 ?, 2251300 ?, 2251500 ?, 2251600 (DE e GEO), 12825000 ?, 22511700 ?, 22518000",Conjunto edificações,Conjunto edificações,"Rua Dr. Astrogildo Cezar de Azevedo, 43",DE n° 162/2019,14/11/2019,Municipal,Of. nº 33/COMPHIC/2020,INTIMAÇÃO Nº 32/COMPHIC/2020,"Tomba-se a volumetria do conjunto, ou seja, o volume das edificações composto por suas fachadas principais e coberturas. A preservação deve acrescer, ainda, todos os elementos remanescentes de ornamentação das fachadas, bem como a fenestração original.",Tombamento Provisório, - 
"03.0011.0021.0232","03.0011.0021.0232.001.001","237400",Imóvel, - ,"Rua Pinheiro Machado, 2553","DE nº 19/2024
(anterior provisório DE nº 201/2019)",24/01/2024,Municipal,Of. nº 40/COMPHIC/2020,INTIMAÇÃO Nº 30/COMPHIC/2020,"Tomba-se a volumetria e a fachada principal, assim como a cobertura e as formas e ornamentações que compõem a face e as suas esquadrias em madeira. Além disso, avalia-se necessário manter o recuo frontal e o muro de pedra. O restante do lote, ao fundo, pode receber acréscimos, contanto que não interfira na percepção a partir do logradouro.",Tombamento Definitivo, - 
"03.0011.0011.0506","03.0011.0011.0506.001.001",103400 e 103500,Imóvel, - ,"Rua Dr. Astrogildo Cezar de Azevedo, 185",DE n° 163/2019,14/11/2019,Municipal,Of. nº 06/COMPHIC/2020,INTIMAÇÃO Nº 06/COMPHIC/2020,"Tomba-se a volumetria da edificação. Ou seja, o conjunto das dimensões que determinam o volume da edificação composta por suas fachadas e cobertura, incluindo seus recuos laterais. A preservação deve acrescer ainda todos os elementos de ornamentação da fachada principal e sua extensão adjacente nas laterais. Elementos a serem preservados: fachadas, volumetria, cobertura, forma, esquadrias, revestimentos e recuos.",Tombamento Provisório, - 
"04.0011.0011.0196","04.0011.0011.0196.001.001","(530221470163310, 530221470163312, 1981000, 1981200 E 1981100 DE) / (1981000 e 1981100 GEO)",Imóvel, - ,"Rua Dr. Bozano, 1044","DE nº 38/2024
(anterior provisório DE nº 164/2019)",25/01/2024,Municipal,Of. nº 26/COMPHIC/2020,INTIMAÇÃO Nº 25/COMPHIC/2020,"Tomba-se, portanto, a fachada principal da edificação, acrescendo, ainda, todos os elementos remanescentes de sua ornamentação, bem como sua fenestração original.",Tombamento Definitivo, - 
"01.0011.0023.0400", - ,"4293800",Imóvel, - ,"Av. Rio Branco, 576",DE nº 118/2022 (anterior provisório DE nº 176/2020),"04/10/2022",Municipal,Of. nº 150/COMPHIC/2020,INTIMAÇÃO Nº 130/COMPHIC/2020,"Tombamento preservando na integralidade, a originalidade volumétrica, ou seja, o volume da edificação composto por sua fachada frontal, fachadas laterais e cobertura. A preservação deve acrescer ainda todos os elementos remanescentes de ornamentação, vãos e esquadrias da fachada.",Tombamento Definitivo, - 
"02.0011.0065.0038", - ,"5739300",Imóvel, - ,"Av. Rio Branco, 683",DE nº 111/2022 (anterior provisório DE nº 177/2020),23/09/2022,Municipal,Of. nº 151/COMPHIC/2020,INTIMAÇÃO Nº 131/COMPHIC/2020,"Tombamento preservando na integralidade, a originalidade volumétrica, ou seja, o volume da edificação composto por sua fachada frontal, fachadas laterais e cobertura. A preservação deve acrescer ainda todos os elementos remanescentes de ornamentação e vãos da fachada e esquadrias, bem como os elementos internos: átrio e hall da edificação, piso de tabuão e móveis originais da sala de visitas e sala da lareira.",Tombamento Definitivo, - 
"02.0011.0065.0119", - ,"5742100, 5742200",Imóvel, - ,"Av. Rio Branco, 771",DE nº 178/2020,"05/08/2020",Municipal,Of. nº 152/COMPHIC/2020,INTIMAÇÃO Nº 132/COMPHIC/2020,"Tombamento preservando na integralidade, a originalidade volumétrica, ou seja, o volume da edificação composto por sua fachada frontal, fachadas laterais e cobertura. A preservação deve acrescer ainda todos os elementos remanescentes de ornamentação, vãos e esquadrias das fachadas.",Tombamento Provisório, - 
"03.0011.0021.0133","03.0011.0021.0133.001.001","236900",Imóvel, - ,"Rua José Bonifácio, 2536",DE nº 165/2019,14/11/2019,Municipal,Of. nº 07/COMPHIC/2020,INTIMAÇÃO Nº 07/COMPHIC/2020,"Tomba-se a edificação, externamente, na sua totalidade. As formas que compõem a edificação, a ornamentação das fachadas, as esquadrias em madeira e vitrais, são características relevantes que devem ser mantidas para preservar a característica da edificação. Além disso, avalia-se necessário manter a volumetria e materialidade do telhado, assim como seus recuos frontais e laterais. O restante do lote, ao fundo, pode receber acréscimos, contanto que não interfira na percepção a partir do logradouro. ",Tombamento Provisório, - 
"02.0011.0022.0535","02.0011.0022.0535.001.001",(5475600 e 5475700 DE) / (5475700 GEO),Imóvel, - ,"Rua Manoel Ribas, 1767","DE nº 41/2024
(anterior provisório DE nº 166/2019)",26/01/2024,Municipal,Of. nº 08/COMPHIC/2020,INTIMAÇÃO Nº 08/COMPHIC/2020,"Tomba-se a fachada principal no pavimento superior, platibanda e térreo. As formas que compõem a edificação, a ornamentação da fachada principal, incluindo marquise, letreiro no pavimento superior, piso de granitina e as esquadrias em madeira, por se tratarem de elementos relevantes que devem ser mantidos para preservar a característica do hotel, empreendimento de suma importância no histórico fervor da ferrovia na cidade. Avalia-se necessário manter a volumetria do telhado, pois sua escala horizontal compõe a característica dos hotéis da época",Tombamento Definitivo, - 
"03.0011.0012.0285", - ,111900 e 112000 e 112100 DE / 111900 e 112000 GEO,Imóvel, - ,"Rua do Acampamento, 436","DE nº 16/2024
(anterior provisório DE nº 181/2020)",24/01/2024,Municipal,Of. nº 158/COMPHIC/2020,INTIMAÇÃO Nº 138/COMPHIC/2020,"Tombamento da sua volumetria, ou seja, o volume da edificação composto por sua fachada frontal e cobertura. A preservação deve acrescer ainda todos os elementos remanescentes de ornamentação e vãos da fachada frontal. ",Tombamento Definitivo, - 
"03.0011.0011.0160", - ,"96400, 96500, 96600, 96700 DE / 96400, 96700 GEO",Imóvel, - ,"Rua do Acampamento, 285",DE nº 114/2022 (anterior provisório DE nº 182/2020),23/09/2022,Municipal,Of. nº 155/COMPHIC/2020,INTIMAÇÃO Nº 135/COMPHIC/2020,"Tomba-se a volumetria da edificação, ou seja, o conjunto das dimensões que determinam o volume da edificação composta por suas fachadas e cobertura. A preservação deve acrescer ainda todos os elementos de ornamentação da fachada principal, seus vãos e sua extensão adjacente nas laterais. ",Tombamento Definitivo, - 
"02.0011.0022.0568","02.0011.0022.0568.001.001",5476900 (geo e DE)/1933723015 e 1933723016 (DE),Imóvel, - ,"Rua Manoel Ribas, 1811",DE n° 167/2019,14/11/2019,Municipal,Of. nº 09/COMPHIC/2020,INTIMAÇÃO Nº 09/COMPHIC/2020,"Tombamento, com preservação integral de sua originalidade volumétrica e estilística, mantendo forma e materiais de acabamento e da cobertura, modenatura das fachadas voltadas para as vias, esquadrias em madeira, bem como a fenestração original.",Tombamento Provisório, - 
